Time,BasePrice,USDPrice,24Hr USD Volume
2017-11-16 03:42:02.099464,0.04556999,329.16343026749996,34172645.80461079
2017-11-16 03:43:07.381515,0.04556999,329.16343026749996,34173285.86632798
2017-11-16 03:44:07.660351,0.0454,327.93555000000003,34148286.15517187
2017-11-16 03:45:07.960138,0.04543095,328.5216485685,34169301.46042859
2017-11-16 03:46:08.359629,0.04543095,328.5216485685,34177704.646040216
2017-11-16 03:47:09.016986,0.04543095,328.5216485685,34219975.77570271
2017-11-16 03:48:09.368151,0.04543095,328.5216485685,34220371.18904895
2017-11-16 03:49:09.802464,0.04543,328.51477889999995,34233494.04235933
2017-11-16 03:50:10.134008,0.04543,328.51477889999995,34247759.62727766
2017-11-16 03:51:10.598497,0.0454295,328.652903325,34246111.017225526
2017-11-16 03:52:11.047641,0.0454295,328.652903325,34251004.5818017
2017-11-16 03:53:11.487404,0.04536004,328.150405374,34259100.65603193
2017-11-16 03:54:11.759893,0.0454295,328.652903325,34265155.11899524
2017-11-16 03:55:12.215046,0.04542945,328.65254160750004,34273726.12613267
2017-11-16 03:56:12.500549,0.04534975,328.12312765250005,34260215.89129622
2017-11-16 03:57:12.981746,0.04542945,328.6997882355,34266846.27006752
2017-11-16 03:58:13.242202,0.04542945,328.6997882355,34244081.96740295
2017-11-16 03:59:13.665908,0.04532628,327.9533130492,34198514.68659891
2017-11-16 04:00:14.020609,0.04530446,329.1169679376,34360585.0471803
2017-11-16 04:01:14.429534,0.04532144,329.2403201664,34355933.12777724
2017-11-16 04:02:14.725236,0.0453,329.084568,34350903.59029786
2017-11-16 04:03:15.183127,0.04529977,329.08289715120003,34370210.40044703
2017-11-16 04:04:15.458340,0.0453,329.084568,34368641.28476322
2017-11-16 04:05:15.913321,0.04542949,330.6072076413,34420926.136510104
2017-11-16 04:06:16.175138,0.04528327,329.5431105999,34412197.101121694
2017-11-16 04:07:16.456574,0.045428,330.59636436,34376187.41610442
2017-11-16 04:08:16.754454,0.0451533,328.597270821,34381836.50520465
2017-11-16 04:09:17.018770,0.04515992,328.6454470104,34297509.256813526
2017-11-16 04:10:17.455989,0.04541887,330.26876346939997,34258152.371165365
2017-11-16 04:11:17.742826,0.04533019,329.6239162078,34256418.69719378
2017-11-16 04:12:18.032498,0.04533019,329.6239162078,34268278.24541171
2017-11-16 04:13:18.479111,0.04522701,328.8736304562,34273505.42152569
2017-11-16 04:14:18.760156,0.04533019,329.6239162078,34223523.775444604
2017-11-16 04:15:24.049211,0.04533019,328.9688949623,34144338.30763613
2017-11-16 04:16:24.404546,0.04520101,328.0314137417,34146477.09164748
2017-11-16 04:17:24.822102,0.045205,328.06036985000003,34135330.41337331
2017-11-16 04:18:25.329083,0.0453302,328.968967534,34129687.23442529
2017-11-16 04:19:25.617569,0.0453302,328.968967534,34129405.276751876
2017-11-16 04:20:26.065635,0.04526983,328.40636014859996,34111769.18636164
2017-11-16 04:21:26.368212,0.0453302,328.844309484,34106540.7506734
2017-11-16 04:22:26.666189,0.0453302,328.844309484,34106847.2423738
2017-11-16 04:23:26.941878,0.0453302,328.844309484,34075290.94831759
2017-11-16 04:24:27.357141,0.0451915,327.83812143,34058864.389695354
2017-11-16 04:25:27.581416,0.04533,329.0155659,34077722.65080542
2017-11-16 04:26:27.799285,0.0453302,329.017017546,34075654.93422708
2017-11-16 04:27:28.096376,0.0453302,329.017017546,34073381.95490433
2017-11-16 04:28:28.386752,0.04546364,329.98555575719996,34071112.14750067
2017-11-16 04:29:29.227889,0.04546364,329.98555575719996,34048497.35657262
2017-11-16 04:30:29.511610,0.04546364,330.1442238608,34056526.691992044
2017-11-16 04:31:29.832234,0.04553442,330.6582084024,34053822.85024138
2017-11-16 04:32:30.302620,0.04553442,330.6582084024,34042429.4611467
2017-11-16 04:33:30.819590,0.04553442,330.6582084024,34042594.73891054
2017-11-16 04:34:31.089868,0.04554442,330.73082560240005,34044918.13079942
